Accession,Gene
IPI00004551,NLRP1
IPI00004554,DTX1
IPI00004560,DCLK1
IPI00004563,FAM105A
IPI00004564,TBC1D16
IPI00004566,ITK
IPI00004567,PRMT7
IPI00004569,MZF1
IPI00004573,PIGR
IPI00004581,ELF3
IPI00004584,KIAA0391
IPI00004653,FIGF
IPI00004655,FRG1
IPI00004656,B2M
IPI00004657,HLA-B;HLA-C;HLA-A;MICA;LOC441528
IPI00004668,FUT8
IPI00004669,GALNT2
IPI00004670,GALNT3
IPI00004671,GOLGB1
IPI00004672,HLA-H
IPI00004712,HUS1
IPI00004758,LDLRAP1
IPI00004792,CYR61
IPI00004795,CLNS1A
IPI00004797,CRISP1
IPI00004815,SEC14L4
IPI00004818,DKFZP434K028
IPI00004827,C21orf30
IPI00004833,TMEM18
IPI00004838,CRK
IPI00004839,CRKL
IPI00004845,NIPSNAP3A
IPI00004859,BLM
IPI00004860,RARS
IPI00004872,NDUFB2
IPI00004882,FAM115A
IPI00004901,GPRC5C
IPI00004902,ETFB
IPI00004922,CMA1
IPI00004924,DEF6
IPI00004926,GPR88
IPI00004927,SCAND2
IPI00004928,EGLN1
IPI00004930,NXF3
IPI00004931,NXF2B;NXF2
IPI00004933,KCNK12
IPI00004942,ZNF330
IPI00004944,SLC4A10
IPI00004946,CXCL16
IPI00004948,GPSM1
IPI00004951,FAM204A
IPI00004957,ANGPTL3
IPI00004958,VIPAR
IPI00004962,GOLIM4
IPI00004963,PIEZO2
IPI00004964,P2RY10
IPI00004968,PRPF19
IPI00004969,NSUN3
IPI00004970,UTP20
IPI00004971,EGLN3
IPI00004974,RABGEF1
IPI00004977,VAV2
IPI00004978,ZNF133
IPI00004981,ZNF140
IPI00004988,MANBAL
IPI00004995,ZNF132
IPI00005001,ZNF137P
IPI00005004,ZNF142
IPI00005011,CNOT2
IPI00005012,ERG
IPI00005014,PIM1
IPI00005015,CNOT3
IPI00005018,UBP1
IPI00005020,ZFP64
IPI00005024,MYBBP1A
IPI00005028,ASCC3
IPI00005030,SH3BP4
IPI00005031,PCDH11X
IPI00005036,RBM5
IPI00005038,HRSP12
IPI00005039,MTIF2
IPI00005040,ACADM
IPI00005042,RBM47
IPI00005045,ABCF2
IPI00005050,MRPS14
IPI00005053,FLJ11235
IPI00005055,CXorf56
IPI00005061,RNF17
IPI00005064,GPSM3
IPI00005068,SLC44A1
IPI00005079,SMAD7
IPI00005084,ASNSD1
IPI00005087,TMOD3
IPI00005089,TMOD2
IPI00005092,POM121L7
IPI00005094,FAM35A
IPI00005099,TFCP2L1
IPI00005101,SENP1
IPI00005102,SMS
IPI00005104,CHUK
IPI00005107,NPC1
IPI00005110,TBX3
IPI00005114,RNF186
IPI00005118,HK3
IPI00005119,TRAPPC2;TRAPPC2P1
IPI00005120,MAGEL2
IPI00005123,EFNA3
IPI00005125,EFNA4
IPI00005126,EFNB2
IPI00005128,ANGPT2
IPI00005129,SCAMP1
IPI00005132,GNL3L
IPI00005135,SPATA6
IPI00005137,HEYL
IPI00005139,RBL1
IPI00005140,NPFF
IPI00005142,FGFR1
IPI00005146,KIAA0430
IPI00005147,RPL41
IPI00005148,SLC39A2
IPI00005149,CCDC76
IPI00005151,OBP2B
IPI00005153,OBP2A
IPI00005154,SSRP1
IPI00005158,LONP1
IPI00005159,ACTR2
IPI00005160,ARPC1B;ARPC1A
IPI00005161,ARPC2
IPI00005162,ARPC3
IPI00005163,ARL15
IPI00005167,CRLS1
IPI00005170,MDM4
IPI00005171,HLA-DRA
IPI00005172,HLA-DQA2
IPI00005176,C1orf183
IPI00005177,ZMAT5
IPI00005179,POLR1C
IPI00005180,HLA-DRB4;HLA-DRB3;LOC649783;HLA-DRB1;HLA-DRB5
IPI00005181,PLSCR1
IPI00005184,TRIM24
IPI00005191,ZKSCAN4
IPI00005194,UBFD1
IPI00005198,ILF2
IPI00005202,PGRMC2
IPI00005203,T
IPI00005210,CETN3
IPI00005218,MOCS2
IPI00005222,TRBC1;TRBV5-4;EPHB6;TRBV12-4;TRBV19
IPI00005223,SMAD9
IPI00005235,C20orf187
IPI00005240,NFATC3
IPI00005250,RGS17
IPI00005254,PARK2
IPI00005260,PSME4
IPI00005262,RSPH9
IPI00005263,PIGH
IPI00005264,PKP2
IPI00005267,BIVM-ERCC5;ERCC5
IPI00005268,RSPH9
IPI00005270,KDELC1
IPI00005277,RAD9A
IPI00005288,OR5V1
IPI00005290,OR12D3
IPI00005292,SPOCK1
IPI00005300,FAM40B
IPI00005347,ZRANB1
IPI00005367,PRKAG2
IPI00005401,GALNT5
IPI00005404,IL36B
IPI00005416,UBAP2L
IPI00005422,CRCT1
IPI00005423,SLC18A1
IPI00005432,CHRNA9
IPI00005465,TSPYL2
IPI00005467,PRSS22
IPI00005471,MMP27
IPI00005474,LHPP
IPI00005476,SP2
IPI00005477,TWISTNB
IPI00005485,SLC28A3
IPI00005487,RBKS
IPI00005490,GOLPH3
IPI00005491,CLSTN2
IPI00005492,WDR5
IPI00005502,ATN1
IPI00005510,GFRA4
IPI00005511,PHF5A
IPI00005512,PARVG
IPI00005516,LRRC4
IPI00005517,EFNA5
IPI00005526,LOC100132661
IPI00005529,MAGEF1
IPI00005530,NPVF
IPI00005531,APOBEC3B
IPI00005537,SLC25A10
IPI00005538,DUS1L
IPI00005539,TERF1
IPI00005541,PMS1
IPI00005547,SLC40A1
IPI00005553,PLA2G2E
IPI00005558,KCNIP2
IPI00005559,NOD2
IPI00005563,TINAGL1
IPI00005564,STC1
IPI00005565,DGKQ
IPI00005566,LIN7B
IPI00005567,CACNB3
IPI00005573,NT5C
IPI00005577,IFIH1
IPI00005578,EHD4
IPI00005579,ABCG4
IPI00005585,TAX1BP3
IPI00005587,MYOM2
IPI00005592,PDE1B
IPI00005600,NDST2
IPI00005605,NDRG3
IPI00005607,DBC1
IPI00005609,VWA5A
IPI00005613,U2AF1
IPI00005614,SPTBN1
IPI00005615,TIAL1
IPI00005616,TAAR2
IPI00005618,C9orf53
IPI00005619,TAAR3
IPI00005621,SYDE1
IPI00005630,E2F1
IPI00005631,GCC2
IPI00005634,TTC37
IPI00005635,TTLL4
IPI00005638,MOV10L1
IPI00005643,PCDHB11
IPI00005648,SAFB2
IPI00005651,IPO13
IPI00005652,WSCD2
IPI00005656,RGL2
IPI00005657,PFDN6
IPI00005658,UBL4A
IPI00005659,GSTA4
IPI00005660,GPR182
IPI00005661,MLX
IPI00005663,PPIP5K1
IPI00005665,DEPDC5
IPI00005666,KDM4A
IPI00005667,N4BP1
IPI00005668,AKR1C2
IPI00005670,CDC123
IPI00005673,HTR3B
IPI00005674,INE1
IPI00005675,NKRF
IPI00005677,GNPAT
IPI00005682,HSD11B1
IPI00005683,EDEM1
IPI00005685,PNMA1
IPI00005686,LIPG
IPI00005688,ZNF185
IPI00005690,MATN3
IPI00005692,MRPS12
IPI00005694,PSG2
IPI00005695,NDUFA1
IPI00005698,RIMS2
IPI00005700,CEP57
IPI00005704,ST18
IPI00005705,PPP1CC
IPI00005707,MRC2
IPI00005708,HS3ST3B1
IPI00005709,HS3ST3A1
IPI00005710,HS3ST2
IPI00005711,HDAC6
IPI00005715,UBE4B
IPI00005716,VDR
IPI00005717,ESRRA
IPI00005719,RAB1A
IPI00005721,DEFA1;DEFA1B
IPI00005722,FLT3
IPI00005724,LANCL1
IPI00005727,FAM127A
IPI00005728,RER1
IPI00005729,FGF3
IPI00005731,BMPR1A
IPI00005732,ACVR1B
IPI00005733,TGFBR1
IPI00005737,SURF4
IPI00005739,DEFB4B;DEFB4A
IPI00005740,COX4NB
IPI00005741,MAPK13
IPI00005743,ATXN7
IPI00005744,SHOX
IPI00005745,SPTLC1
IPI00005747,TCP10
IPI00005750,PKDREJ
IPI00005751,SPTLC2
IPI00005755,TCAP
IPI00005760,TRAF5
IPI00005769,FANCG
IPI00005774,LRP8
IPI00005775,CEPT1
IPI00005776,NOD1
IPI00005777,MAPKAPK3
IPI00005778,PRG3
IPI00005780,OGT
IPI00005781,ALOX15B
IPI00005782,PPM1D
IPI00005789,PIAS3
IPI00005791,NDC80
IPI00005792,PABPN1
IPI00005793,AP3B2
IPI00005794,PGCP
IPI00005806,ST7-OT3;ST7
IPI00005809,SDPR
IPI00005811,MLH3
IPI00005822,CDC23
IPI00005823,DNAH9
IPI00005824,LIN7A
IPI00005826,HERC2
IPI00005836,PIAS2
IPI00005837,ANGPTL1
IPI00005839,PRY;PRYP3;LOC100509646;PRYP4;PRY2
IPI00005846,STEAP1
IPI00005858,LATS1
IPI00005859,KRT75
IPI00005861,PRPF3
IPI00005881,ATG12
IPI00005896,FBXO11
IPI00005904,DDX20
IPI00005908,ADAMTS1
IPI00005914,SHPK
IPI00005918,AMACR
IPI00005923,PNLIPRP1
IPI00005924,PNLIPRP2
IPI00005930,OPN4
IPI00005944,INSM1
IPI00005948,MRI1
IPI00005954,IL9R
IPI00005957,SMPX
IPI00005963,SLC50A1
IPI00005966,NDUFA12
IPI00005969,CAPZA1
IPI00005978,SRSF2
IPI00005979,EIF2B4
IPI00005981,TAGLN3
IPI00005990,PKN2
IPI00005991,PDPK1
IPI00005996,HMGA2
IPI00006003,CD83
IPI00006006,TMEM63A
IPI00006009,PLEKHB1
IPI00006011,KIAA0408
IPI00006012,PRO1768
IPI00006014,CEP104
IPI00006018,TP73-AS1
IPI00006023,CKLF-CMTM1;CKLF
IPI00006024,DOCK4
IPI00006025,SART3
IPI00006026,FTSJ2
IPI00006029,FOXK2
IPI00006030,DNAI1
IPI00006034,CRIP2
IPI00006036,PDX1
IPI00006038,NUP98
IPI00006046,ZNF536
IPI00006047,LOC100127886
IPI00006049,MEG3
IPI00006050,FAM115A
IPI00006052,PFDN2
IPI00006053,GBX2
IPI00006054,SNPH
IPI00006055,NKX2-5
IPI00006058,LBX1
IPI00006064,TBKBP1
IPI00006065,TOX
IPI00006066,CSGALNACT2;LOC644504
IPI00006070,CD34
IPI00006071,CD38
IPI00006072,SEC61G
IPI00006073,TNFRSF8
IPI00006076,SPG7
IPI00006077,PHF16
IPI00006079,BCLAF1
IPI00006080,ATG13
IPI00006084,CNNM2
IPI00006089,GRM6
IPI00006091,DMD
IPI00006092,PMM2
IPI00006094,RIMS3
IPI00006096,KIAA0586
IPI00006097,LTBR
IPI00006098,FEZ2
IPI00006099,BMS1
IPI00006103,CD2BP2
IPI00006105,RAD51B
IPI00006107,MALAT1
IPI00006108,MAML1
IPI00006109,MAD2L2
IPI00006113,POLR2I
IPI00006114,SERPINF1
IPI00006115,DAZAP2
IPI00006121,IDS
IPI00006122,CTAGE5
IPI00006128,SPOCK2
IPI00006130,KIAA0494
IPI00006142,ARMCX2
IPI00006146,SAA2;SAA1
IPI00006148,MKRN4P
IPI00006152,S1PR5
IPI00006153,BHLHE41
IPI00006154,CFHR2
IPI00006157,HMGN5
IPI00006158,LRMP
IPI00006160,TP73
IPI00006162,BCL2L14
IPI00006163,FOXN1
IPI00006164,ILKAP
IPI00006165,NPL
IPI00006166,GPR37
IPI00006167,PPM1G
IPI00006170,FANCA
IPI00006171,NFRKB
IPI00006173,CETP
IPI00006176,HGS
IPI00006178,NPY6R
IPI00006180,SOX12
IPI00006181,EIF3D
IPI00006183,SLC16A4
IPI00006184,SLC16A5
IPI00006187,HDAC3
IPI00006192,MAP3K13
IPI00006193,NTN3
IPI00006195,SLC24A1
IPI00006196,NUMA1
IPI00006197,NVL
IPI00006203,ZBED1
IPI00006204,KCNAB3
IPI00006205,SLC33A1
IPI00006207,LRRFIP1
IPI00006210,BIRC5
IPI00006211,VAPB
IPI00006212,TMPRSS2
IPI00006213,PCM1
IPI00006217,GRIN2D
IPI00006231,LRAT
IPI00006232,PDE4A
IPI00006236,PDGFRL
IPI00006248,GCNT3
IPI00006249,GCM2
IPI00006250,DHRS3
IPI00006252,AIMP1
IPI00006254,BZRAP1
IPI00006265,ITGB1BP1
IPI00006266,BCL7C
IPI00006273,CYR61
IPI00006278,ZNF230
IPI00006280,SCAP
IPI00006283,TAOK2
IPI00006288,SLIT2
IPI00006296,SLC22A6
IPI00006298,PPIG
IPI00006316,SLC22A14
IPI00006348,RPL23AP82
IPI00006356,PNPLA5
IPI00006362,EDF1
IPI00006372,TEX264
IPI00006375,LIPT1
IPI00006376,C3orf32
IPI00006377,POMP
IPI00006378,CCDC72
IPI00006379,NOP58
IPI00006395,GNAL
IPI00006408,NOSIP
IPI00006419,DPH5
IPI00006433,DNAJC16
IPI00006434,IFNW1
IPI00006438,ERGIC3
IPI00006440,MRPS7
IPI00006442,COIL
IPI00006443,CRYL1
IPI00006444,SLC24A2
IPI00006451,NSF
IPI00006454,IFNA6
IPI00006456,IFNA16
IPI00006464,CNNM1
IPI00006465,TNNI3K
IPI00006466,ZNF623
IPI00006470,HMP19
IPI00006471,MELK
IPI00006475,UBE2D4
IPI00006476,ENTPD7
IPI00006482,ATP1A1
IPI00006492,TRIM49
IPI00006498,DAZ2
IPI00006499,KIAA0753
IPI00006501,DAZ3
IPI00006504,EIF2B3
IPI00006510,TUBB1
IPI00006512,ZBP1
IPI00006514,CYFIP2
IPI00006515,KCNH6
IPI00006516,UNG
IPI00006524,KIAA0319
IPI00006525,SIX4
IPI00006533,WIPI2
IPI00006535,IFT52
IPI00006538,PTDSS2
IPI00006541,RSPH6A
IPI00006543,CFHR5
IPI00006545,TM7SF4
IPI00006547,ITFG1
IPI00006552,CNOT7
IPI00006556,TRIL
IPI00006557,PJA2
IPI00006558,SH3GLB1
IPI00006560,SERPINB13
IPI00006561,KIAA0317
IPI00006571,TDRD3
IPI00006572,STMN4
IPI00006574,FAM49A
IPI00006579,COX4I1
IPI00006580,FAM117A
IPI00006586,TOX4
IPI00006589,ZBTB39
IPI00006592,MSRA
IPI00006599,C1orf21
IPI00006601,CHGB
IPI00006602,NDEL1
IPI00006603,CSRNP2
IPI00006606,MRPS26
IPI00006608,APP
IPI00006610,ZBED4
IPI00006612,SNAP91
IPI00006615,CLPB
IPI00006616,MIR600HG
IPI00006618,ANKRD13C
IPI00006620,SLC16A6
IPI00006631,SV2B
IPI00006636,ZNF442
IPI00006642,MLL2
IPI00006644,PLXNB1
IPI00006648,RABGAP1L
IPI00006651,SUPT7L
IPI00006653,ATP2C2
IPI00006657,FAM20B
IPI00006658,PIN4
IPI00006660,PLCL1
IPI00006662,APOD
IPI00006663,ALDH2
IPI00006665,CYP17A1
IPI00006666,SLC16A3
IPI00006667,PIN1P1
IPI00006671,ZBTB5
IPI00006672,SLC31A1
IPI00006673,SLC31A2
IPI00006674,ABCC3
IPI00006675,ABCC4
IPI00006680,FAM13A
IPI00006682,PPP1R3D
IPI00006690,EPX
IPI00006699,PRB3
IPI00006702,PELP1
IPI00006704,NBR2
IPI00006705,SCGB1A1
IPI00006707,SFTPC
IPI00006713,DNAJC3
IPI00006714,PTPN13
IPI00006715,RAD21
IPI00006717,CCL16
IPI00006721,OPA1
IPI00006722,PEX16
IPI00006723,SNRNP40
IPI00006725,DDX23
IPI00006726,MAGEB2
IPI00006732,NTN1
IPI00006735,ECEL1
IPI00006737,MAGEB4
IPI00006742,GYG2
IPI00006746,ERMN
IPI00006749,NCR1
IPI00006752,MAP4K4
IPI00006754,DCAF7
IPI00006760,GSC2
IPI00006762,GNAS
IPI00006774,IL27RA
IPI00006788,LOC100129449
IPI00006800,ATG5
IPI00006803,CHST10
IPI00006817,GAL3ST1
IPI00006854,RASAL2
IPI00006863,SPAG7
IPI00006864,MRPL33
IPI00006865,SEC22B
IPI00006876,IER2
IPI00006892,ZNF280C
IPI00006899,PARP11
IPI00006900,UTP3
IPI00006902,FSCN3
IPI00006903,GPR84
IPI00006904,AVEN
IPI00006906,C12orf4
IPI00006907,C12orf5
IPI00006914,CYSLTR2
IPI00006932,LUC7L2
IPI00006934,HAO1
IPI00006935,EIF5A2
IPI00006937,UBE2J1
IPI00006952,LACTB2
IPI00006957,DHRS7
IPI00006961,SPANXC
IPI00006962,LPAR5
IPI00006966,CTAGE1
IPI00006967,PCDH9
IPI00006969,ECM1
IPI00006970,MRPS2
IPI00006971,CD248
IPI00006978,RHBG
IPI00006979,LYRM4
IPI00006980,C14orf166
IPI00006982,XAGE1B;XAGE1A;XAGE1D;XAGE1E;XAGE1C
IPI00006987,DDX24
IPI00006988,RETN
IPI00006991,CDKN1B
IPI00006994,KLHL21
IPI00006995,ENDOU
IPI00006997,PCBP4
IPI00007001,MRPL11
IPI00007004,RRP15
IPI00007009,C6orf162
IPI00007010,LYZL6
IPI00007015,GDF2
IPI00007019,PPIL1
IPI00007021,MED31
IPI00007022,GNG8
IPI00007024,FAM96B
IPI00007029,GJC2
IPI00007032,SALL4
IPI00007034,UBAC2
IPI00007035,ZNF225
IPI00007040,ZNF222
IPI00007041,MAL
IPI00007043,ZNF221
IPI00007045,GLRX2
IPI00007047,S100A8
IPI00007048,LST1
IPI00007049,MRPS18C
IPI00007051,EDAR
IPI00007052,FIS1
IPI00007053,LST1
IPI00007055,LST1
IPI00007057,ZFYVE20
IPI00007058,CORO1B
IPI00007060,PDF
IPI00007061,GOLT1B
IPI00007063,HDGFRP3
IPI00007067,GLIPR2
IPI00007068,ACTR3B
IPI00007074,YARS
IPI00007080,INHA
IPI00007081,IL4
IPI00007082,IL5
IPI00007084,SLC25A13
IPI00007085,LST1
IPI00007088,ANAPC10
IPI00007089,NSA2
IPI00007091,DIO3OS
IPI00007093,N4BP2L2
IPI00007096,TOR1AIP2
IPI00007102,GLOD4
IPI00007109,ZFHX2
IPI00007110,OSGEPL1
IPI00007111,RASD1
IPI00007117,SERPINB2
IPI00007118,SERPINE1
IPI00007119,TUBE1
IPI00007120,TUBD1
IPI00007122,KIAA1009
IPI00007123,RPS6KA6
IPI00007124,KIAA0894
IPI00007125,STYXL1
IPI00007126,ZNF652
IPI00007127,DPEP2
IPI00007128,PRKCG
IPI00007131,DPEP3
IPI00007132,RHOBTB3
IPI00007133,COBLL1
IPI00007134,KCNK15
IPI00007138,DLGAP4
IPI00007144,RPL26L1
IPI00007145,RAB11FIP2
IPI00007146,GINS2
IPI00007148,LYRM2
IPI00007153,MS4A2
IPI00007155,VPS28
IPI00007156,LEF1
IPI00007157,ZFP112;ZNF285
IPI00007163,LSM7
IPI00007164,FOXD3
IPI00007165,DOLK
IPI00007166,IER3IP1
IPI00007168,VASH1
IPI00007174,NAA20
IPI00007175,NIP7
IPI00007176,ROBO3
IPI00007182,MLST8
IPI00007183,ATL2
IPI00007188,SLC25A5
IPI00007189,CDC42
IPI00007193,ANKRD26
IPI00007199,SERPINA10
IPI00007201,AIG1
IPI00007205,ITGAE
IPI00007207,LIPA
IPI00007208,DDX41
IPI00007211,ATG14
IPI00007215,ASB3;GPR75-ASB3
IPI00007218,ASMT
IPI00007219,CYP2C9
IPI00007221,SERPINA5
IPI00007227,R3HDM2
IPI00007234,ZNF510
IPI00007240,F13B
IPI00007242,LGALS2
IPI00007244,MPO
IPI00007247,PCCB
IPI00007248,PLEKHA6
IPI00007249,ENPP4
IPI00007253,TRAPPC8
IPI00007256,ZHX2
IPI00007257,CLSTN1
IPI00007262,USP21
IPI00007264,HSPB8
IPI00007266,ALAS1
IPI00007269,UBOX5
IPI00007271,DKKL1
IPI00007273,ZBTB1
IPI00007274,ZNF365
IPI00007277,LRRFIP2
IPI00007279,PCGF3
IPI00007280,ARPC5
IPI00007282,CYP2E1
IPI00007283,POLR2D
IPI00007284,CLOCK
IPI00007287,CFLAR
IPI00007289,ALPP
IPI00007293,CEP164
IPI00007300,BTBD3
IPI00007304,ARIH2
IPI00007306,CFDP1
IPI00007307,FGF10
IPI00007308,NKX2-8
IPI00007309,TIMM23
IPI00007311,MAFG
IPI00007312,OGG1
IPI00007313,CYP27B1
IPI00007314,GPR42
IPI00007317,FAN1
IPI00007320,TCF25
IPI00007321,LYPLA1
IPI00007322,C1D
IPI00007327,TAPBP
IPI00007330,ZNF193
IPI00007331,RS1
IPI00007334,ACIN1
IPI00007339,HMG20B
IPI00007343,RNF113A
IPI00007346,PPIH
IPI00007347,COG5
IPI00007348,C3orf27
IPI00007358,ZNHIT1
IPI00007360,ZNF238
IPI00007362,KDM6A
IPI00007364,CLDN3
IPI00007365,TRIM38
IPI00007366,FFAR2
IPI00007367,MEFV
IPI00007374,C1orf61
IPI00007385,C16orf7
IPI00007392,CLCA3P
IPI00007393,APPBP2
IPI00007395,MTL5
IPI00007401,IPO8
IPI00007402,IPO7
IPI00007403,DKK3
IPI00007404,ATG7
IPI00007405,UBD
IPI00007411,AKAP11
IPI00007419,RCAN3
IPI00007422,BATF
IPI00007423,ANP32B
IPI00007426,ARL6IP5
IPI00007427,AGR2
IPI00007444,EPYC
IPI00007461,DPY19L1
IPI00007470,ICA1
IPI00007471,NACA2
IPI00007507,KCND1
IPI00007512,GSTO2
IPI00007515,ADAM30
IPI00007524,CCL8
IPI00007525,MECOM
IPI00007563,CCL7
IPI00007573,VPREB3
IPI00007576,SNRNP35
IPI00007577,FASLG
IPI00007582,SLC6A8
IPI00007596,ADAM21
IPI00007600,MTNR1A
IPI00007604,SMAGP
IPI00007605,NXT1
IPI00007607,YIF1A
IPI00007611,ATP5O
IPI00007612,KCNJ1
IPI00007614,KCNJ2
IPI00007617,OR52A1
IPI00007618,GJD2
IPI00007622,MRPL36
IPI00007623,ANK1
IPI00007625,ANK1
IPI00007626,KCNJ4
IPI00007627,KCNJ6
IPI00007632,GRIA4
IPI00007636,ASB4
IPI00007641,IRAK4
IPI00007647,SLC6A12
IPI00007648,SLC6A11
IPI00007671,FUT3
IPI00007672,XRCC4
IPI00007673,CHCHD2
IPI00007675,DYNC1LI1
IPI00007676,HSD17B12
IPI00007682,ATP6V1A
IPI00007691,TRAPPC4
IPI00007692,LOC100507738;LOC390660;ADAMTS7
IPI00007694,PPME1
IPI00007695,SHANK1
IPI00007696,UTS2R
IPI00007700,HSFX1;HSFX2
IPI00007702,HSPA2
IPI00007709,ADAM28
IPI00007711,LOC51145
IPI00007712,A4GNT
IPI00007713,KLK9
IPI00007716,LTK
IPI00007722,AMPD2
IPI00007724,KLK12
IPI00007726,KLK13
IPI00007729,NOL7
IPI00007730,C14orf1
IPI00007731,BAG5
IPI00007732,TBX21
IPI00007734,TSPAN16
IPI00007736,EIF2C1
IPI00007739,HEMK1
IPI00007748,IL7
IPI00007750,TUBA4A
IPI00007752,TUBB2C
IPI00007755,RAB21
IPI00007756,RAB22A
IPI00007757,IKZF2
IPI00007759,LINC00328
IPI00007764,HN1
IPI00007765,HSPA9
IPI00007769,PMP22
IPI00007775,FBXL21
IPI00007776,ACTL6B
IPI00007777,ZNF236
IPI00007778,CTBS
IPI00007792,FGF1
IPI00007793,IL6
IPI00007797,FABP5
IPI00007798,TRHDE
IPI00007800,ANGPTL2
IPI00007806,STOML1
IPI00007810,PSKH1
IPI00007811,CDK4
IPI00007812,ATP6V1B2
IPI00007814,ATP6V1C1
IPI00007817,VGLL3
IPI00007818,CPSF3
IPI00007819,TRAPPC2L
IPI00007820,C3orf18
IPI00007821,ZNF215
IPI00007825,ZNF214
IPI00007826,TP53TG3;TP53TG3B;LOC653550
IPI00007831,IER3
IPI00007834,ANK2
IPI00007836,TRPC5
IPI00007839,ABCG5
IPI00007840,ABCG8
IPI00007843,MYT1L
IPI00007847,TMEM189;UBE2V1;TMEM189-UBE2V1
IPI00007853,IFI30
IPI00007856,MYH2
IPI00007858,MYH13
IPI00007866,RAB17
IPI00007874,SOX17
IPI00007879,SRF
IPI00007880,MS4A1
IPI00007909,RABAC1
IPI00007910,SLC34A2
IPI00007913,ARHGAP26
IPI00007914,TTLL5
IPI00007917,COLEC10
IPI00007919,SARM1
IPI00007921,NRXN2
IPI00007926,C6orf108
IPI00007927,SMC2
IPI00007928,PRPF8
IPI00007935,PDLIM5
IPI00007940,ERLIN1
IPI00007941,HEXIM1
IPI00007943,STAMBP
IPI00007947,POLR3G
IPI00007948,POLR3C
IPI00007955,TRIM16
IPI00007956,TXNIP
IPI00007957,TAF6L
IPI00007959,PDPN
IPI00007960,POSTN
IPI00007961,MT-ND1
IPI00007979,MT-ND2
IPI00007983,PDLIM2
IPI00007993,HIC1
IPI00008011,POLH
IPI00008034,RAB23
IPI00008037,ACSL5
IPI00008040,PADI1
IPI00008054,BRPF3
IPI00008057,INTU
IPI00008079,CXCL6
IPI00008085,SLC39A10
IPI00008087,FSTL5
IPI00008091,INO80
IPI00008107,LRFN2
IPI00008115,MAP3K9
IPI00008121,RIMKLB
IPI00008135,ODF2L
IPI00008137,ZNF295
IPI00008144,PPP1R9A
IPI00008147,C14orf166B
IPI00008148,GFRA1
IPI00008157,KIAA1211
IPI00008160,NPBWR1
IPI00008161,ATP12A
IPI00008162,NPBWR2
IPI00008164,PREP
IPI00008167,ATP1B3
IPI00008173,PLEKHG1
IPI00008176,SHROOM4
IPI00008177,GRAMD1B
IPI00008178,FXYD2
IPI00008179,SULT2B1
IPI00008191,SAMD15
IPI00008192,DLX5
IPI00008200,YEATS2
IPI00008202,HECA
IPI00008203,FBXO40
IPI00008205,CNOT6
IPI00008207,MAN1B1
IPI00008208,ZNF107
IPI00008214,NDUFV3
IPI00008215,ME1
IPI00008219,RAD23A
IPI00008223,RAD23B
IPI00008224,GLRB
IPI00008225,GABRA4
IPI00008231,C1orf9
IPI00008234,CYB5R2
IPI00008236,CYB5R4
IPI00008239,GPRC5B
IPI00008240,MARS
IPI00008242,THAP3
IPI00008247,ANAPC5
IPI00008248,ANAPC7
IPI00008253,HS1BP3
IPI00008254,SLCO1A2
IPI00008255,AZI2
IPI00008269,NDRG4
IPI00008274,CAP1
IPI00008278,MAGEC2
IPI00008281,ZMAT3
IPI00008282,PDE1A
IPI00008285,FAM8A1
IPI00008289,BRCC3
IPI00008290,EPHA5
IPI00008294,DCUN1D2
IPI00008296,NCR1
IPI00008298,DEFA5
IPI00008301,DEFA6
IPI00008303,NAGPA
IPI00008304,AKTIP
IPI00008305,HPCAL4
IPI00008307,PADI4
IPI00008308,MLLT4;HGC6
IPI00008315,EPHB1
IPI00008318,EPHA4
IPI00008327,EDN1
IPI00008332,MYT1
IPI00008333,VGLL1
IPI00008334,PAIP2B
IPI00008338,ABCC1
IPI00008348,NARFL
IPI00008350,ZDHHC6
IPI00008351,SELT
IPI00008359,KRT76
IPI00008367,CES1P1
IPI00008372,IL22
IPI00008377,LRRC3
IPI00008380,PPP2CA
IPI00008381,ZNF696
IPI00008382,MAGI3
IPI00008389,MYF5
IPI00008398,CYP26B1
IPI00008401,UNKL
IPI00008403,CHST7
IPI00008404,DVL1L1;DVL1
IPI00008405,ARSF
IPI00008416,RSG1
IPI00008418,DIABLO
IPI00008422,SMARCAD1
IPI00008433,RPS5
IPI00008434,WBP5
IPI00008436,POLE4
IPI00008437,RSL24D1
IPI00008438,RPS10
IPI00008439,SS18L2
IPI00008444,CDADC1
IPI00008445,URM1
IPI00008449,FIP1L1
IPI00008454,DNAJB11
IPI00008455,MYO6
IPI00008456,HSF4
IPI00008459,CBLC
IPI00008461,POLR3K
IPI00008468,GULP1
IPI00008472,TBL1XR1
IPI00008473,CD79A
IPI00008475,HMGCS1
IPI00008477,TPX2
IPI00008481,HOXD8
IPI00008483,MAOA
IPI00008485,ACO1
IPI00008486,PADI3
IPI00008490,UNC93B1
IPI00008493,SHCBP1L
IPI00008494,ICAM1
IPI00008495,MT-ND4
IPI00008497,ODC1
IPI00008498,RNF32
IPI00008499,TDGF1
IPI00008504,CA14
IPI00008511,MT-ND5
IPI00008513,SPATA2
IPI00008521,RSC1A1
IPI00008524,PABPC1
IPI00008526,SPRR2G;SPRR2C;SPRR2D
IPI00008527,RPLP1
IPI00008528,MT-ATP8
IPI00008529,RPLP2
IPI00008530,RPLP0
IPI00008531,RCOR1
