Accession,Protein
IPI00005020,Q9NTW7
IPI00005024,Q9BQG0
IPI00005030,Q9P0V3
IPI00005031,Q9BZA7
IPI00005036,P52756
IPI00005038,P52758
IPI00005039,P46199
IPI00005040,P11310
IPI00005042,A0AV96
IPI00005045,Q9UG63
IPI00005050,O60783
IPI00005055,Q9H5V9
IPI00005061,Q9BXT8
IPI00005064,Q9Y4H4
IPI00005068,Q8WWI5
IPI00005079,O15105
IPI00005084,Q9NWL6
IPI00005087,Q9NYL9
IPI00005089,Q9NZR1
IPI00005094,Q86V20
IPI00005099,Q9NZI6
IPI00005101,Q9P0U3
IPI00005102,P52788
IPI00005104,O15111
IPI00005107,O15118
IPI00005110,O15119
IPI00005114,Q9NXI6
IPI00005118,P52790
IPI00005119,P0DI81
IPI00005120,Q9UJ55
IPI00005123,P52797
IPI00005125,P52798
IPI00005126,P52799
IPI00005128,O15123
