Accession,Protein
IPI00029372,Q68CZ6
IPI00029377,O95201
IPI00029400,O95218
IPI00029403,O95219
IPI00029411,O95221
IPI00029412,O95222
IPI00029419,Q30201
IPI00029422,O95235
IPI00029426,Q9UHU1
IPI00029437,Q9HAQ2
IPI00029444,Q9HB07
IPI00029447,O95249
IPI00029449,Q9ULK5
IPI00029455,O95255
IPI00029458,O95257
IPI00029460,O95258
IPI00029468,P61163
IPI00029469,P42025
IPI00029472,O95260
IPI00029473,Q9HAS0
IPI00029474,Q9HB20
IPI00029484,Q14202
IPI00029486,P50052
IPI00029488,P50053
IPI00029490,Q14206
IPI00029498,Q9HAT0
IPI00029501,Q9HB31
IPI00029507,O95279
IPI00029510,Q14210
IPI00029513,Q9BSC4
IPI00029515,Q9HAU0
IPI00029521,Q5T7V8
IPI00029533,P26012
IPI00029534,Q06203
IPI00029535,O60403
IPI00029538,O60404
IPI00029556,O95561
IPI00029557,Q9HAV7
IPI00029558,O95298
IPI00029561,O95299
IPI00029568,P26022
IPI00029575,Q14236
IPI00029591,Q14242
IPI00029594,Q8WWQ2
IPI00029596,P40617
IPI00029601,Q14247
IPI00029605,P34059
IPI00029606,P78536
IPI00029620,O60431
IPI00029623,P60900
IPI00029628,Q14257
IPI00029629,Q14258
IPI00029631,P84090
IPI00029643,Q9NYL2
IPI00029647,O60844
IPI00029656,O60443
IPI00029658,Q12805
IPI00029662,Q12809
IPI00029665,Q96EY8
IPI00029669,Q15697
IPI00029678,Q06250
IPI00029680,Q12815
IPI00029683,Q12816
IPI00029693,O60462
IPI00029695,Q12824
IPI00029697,Q06265
IPI00029699,P34096
IPI00029700,O60469
IPI00029702,Q14289
IPI00029705,Q9BSJ2
IPI00029707,O95639
IPI00029713,Q12837
IPI00029714,Q14296
IPI00029715,Q06278
IPI00029716,O60479
IPI00029717,P02671
IPI00029722,Q12840
IPI00029723,Q12841
IPI00029724,O60481
IPI00029728,P18074
IPI00029730,Q12846
IPI00029731,P18077
IPI00029732,P16619
IPI00029733,Q04828
IPI00029734,P30305
IPI00029737,O60488
IPI00029739,P08603
IPI00029740,O60493
IPI00029741,P18084
IPI00029744,Q04837
IPI00029745,Q12857
IPI00029750,P62847
IPI00029751,Q12860
IPI00029753,Q04844
IPI00029754,P40692
IPI00029756,Q12866
IPI00029760,P08620
IPI00029764,Q12874
IPI00029768,Q12879
IPI00029769,P08631
IPI00029772,Q12882
IPI00029773,Q04864
IPI00029778,Q12888
IPI00029779,Q12889
IPI00029784,P16662
IPI00029795,P08651
IPI00029796,Q5XKR4
IPI00029803,Q9BT17
IPI00029810,Q9BWT6
IPI00029811,Q9H977
IPI00029817,Q99519
IPI00029818,Q7Z406
IPI00029819,Q9UM47
IPI00029834,Q9BST9
IPI00029922,Q9H379
IPI00029953,P61296
IPI00029954,Q9HBM0
IPI00029997,O95336
IPI00030009,O95340
IPI00030013,O95343
IPI00030023,P50135
IPI00030033,O95359
IPI00030037,P42127
IPI00030045,Q9HC23
IPI00030058,P50150
IPI00030059,P50151
IPI00030060,P61952
IPI00030064,O95371
IPI00030070,O95377
IPI00030075,Q14314
IPI00030090,Q9HBU6
IPI00030097,P34130
IPI00030098,Q14320
IPI00030099,O60503
IPI00030104,Q14324
IPI00030106,O60507
IPI00030111,O95390
IPI00030115,O95393
IPI00030122,O95399
IPI00030128,O60513
IPI00030131,P42167
IPI00030144,Q9Y536
IPI00030153,O60522
IPI00030166,Q9NRC1
IPI00030167,Q9NV23
IPI00030172,Q9HC73
IPI00030177,Q06330
IPI00030179,P18124
IPI00030182,Q14353
IPI00030202,O43820
IPI00030204,O60543
IPI00030205,P18135
IPI00030207,O60547
IPI00030208,Q12908
IPI00030209,O60548
IPI00030216,O60828
IPI00030223,O60551
IPI00030227,P18146
IPI00030236,Q9H0R3
IPI00030237,Q5T0J7
IPI00030239,Q0GE19
IPI00030240,Q494U1
IPI00030241,Q04900
IPI00030243,P61289
IPI00030246,Q12923
IPI00030247,O60563
IPI00030250,Q12926
IPI00030252,Q9HB96
IPI00030255,O60568
IPI00030257,Q9H6V9
IPI00030267,Q9H0J4
IPI00030272,Q9H0I2
IPI00030273,Q04912
IPI00030274,Q9H0G5
IPI00030275,Q12931
IPI00030278,Q12933
IPI00030279,Q5FWF4
IPI00030280,Q14392
IPI00030282,Q12934
IPI00030283,P32745
IPI00030285,O60575
IPI00030288,Q9H5Z1
IPI00030293,Q14397
IPI00030304,Q9H0N0
IPI00030306,Q9H0E7
IPI00030307,Q96JW4
IPI00030308,Q53FE4
IPI00030313,O60583
IPI00030319,Q12947
IPI00030320,P26196
IPI00030328,Q9GZT4
IPI00030334,Q9BYE7
IPI00030336,P08700
IPI00030339,Q12950
IPI00030343,Q12952
IPI00030351,Q12959
IPI00030355,O60927
IPI00030356,Q07820
IPI00030357,P00374
IPI00030360,Q9HA26
IPI00030362,Q04941
IPI00030363,P24752
IPI00030364,Q12962
IPI00030369,Q12968
IPI00030371,Q9C037
IPI00030380,P32780
IPI00030383,Q12972
IPI00030384,Q6UWZ7
IPI00030389,Q12979
IPI00030392,Q9ULW6
IPI00030397,Q12981
IPI00030399,Q12982
IPI00030405,Q12988
IPI00030408,Q99549
IPI00030418,Q12999
IPI00030430,Q9H6X5
IPI00030431,Q9H6X2
IPI00030447,Q9H6Q3
IPI00030448,Q6UXD7
IPI00030458,Q8N490
IPI00030481,Q9BTT4
IPI00030484,Q9NZC7
IPI00030509,Q5VT28
IPI00030511,Q9BTV6
IPI00030512,Q9BTV7
IPI00030530,Q86T03
IPI00030531,Q14BN4
IPI00030532,Q9HCH3
IPI00030552,Q9BTX9
IPI00030554,Q9HCI7
IPI00030572,Q9HCJ0
IPI00030578,Q9HCJ6
IPI00030596,Q96E11
IPI00030602,Q9HCK5
IPI00030618,Q9HCL0
IPI00030624,Q5H9R7
IPI00030634,Q9UJ14
IPI00030648,O95405
IPI00030649,O95406
IPI00030652,O95409
IPI00030654,Q16630
IPI00030675,O95415
IPI00030676,O95416
IPI00030689,O95424
IPI00030695,O95429
IPI00030702,P50213
IPI00030703,P50219
IPI00030706,O95433
IPI00030716,Q92813
IPI00030728,P50221
IPI00030729,P50222
IPI00030730,P50224
IPI00030733,P42771
IPI00030734,Q5T4W7
IPI00030738,Q5M775
IPI00030739,O95445
IPI00030741,O95447
IPI00030746,O96017
IPI00030757,O95450
IPI00030763,O95452
IPI00030767,Q9GZP8
IPI00030770,O95456
IPI00030774,Q9BTW9
IPI00030781,P42224
IPI00030782,P42226
IPI00030783,P42229
IPI00030785,Q9H1M4
IPI00030786,O95460
IPI00030790,O60303
IPI00030794,Q9HCS5
IPI00030811,Q14409
IPI00030814,Q9HCT0
IPI00030820,Q9HD33
IPI00030821,O95475
IPI00030829,Q9UHP7
IPI00030834,Q14416
IPI00030835,Q9NR12
IPI00030843,O95484
IPI00030845,Q96EA4
IPI00030847,Q9HD45
IPI00030851,O95487
IPI00030871,O95497
IPI00030872,O95498
IPI00030877,O60613
IPI00030880,P42261
IPI00030882,P42262
IPI00030887,Q06418
IPI00030891,Q9UBF6
IPI00030898,Q9BUV8
IPI00030906,Q9BWX1
IPI00030911,Q9BV40
IPI00030914,P62079
IPI00030915,P40818
IPI00030916,P62952
IPI00030917,Q14449
IPI00030919,Q9UHA4
IPI00030920,Q9Y5P6
IPI00030930,Q9HCX4
IPI00030933,Q06430
IPI00030935,Q06432
IPI00030936,O60635
IPI00030938,O60636
IPI00030941,O60637
IPI00030945,Q96RP3
IPI00030962,Q13404
IPI00030964,Q14469
IPI00030968,Q9BUH6
IPI00030976,O60658
IPI00030985,Q9H5X1
IPI00030986,O60662
IPI00030989,O60663
IPI00031000,Q9BQB6
IPI00031005,Q9H5K3
IPI00031008,P24821
IPI00031015,Q14493
IPI00031016,O60674
IPI00031017,Q14494
IPI00031018,O60675
IPI00031019,O60676
IPI00031023,Q13045
IPI00031027,Q9H0H9
IPI00031029,A6NC98
IPI00031030,Q06481
IPI00031032,O60682
IPI00031033,O60683
IPI00031036,P40879
IPI00031039,Q75L30
IPI00031040,Q9H0D2
IPI00031041,Q9H0C3
IPI00031042,Q96S15
IPI00031044,Q9H0A9
IPI00031046,Q9H0A3
IPI00031047,Q9H095
IPI00031050,Q06495
IPI00031052,Q9BUM1
IPI00031055,Q9H094
IPI00031056,Q9H091
IPI00031058,A5PLK6
IPI00031059,Q8ND25
IPI00031063,Q9H063
IPI00031064,Q9H061
IPI00031065,P24855
IPI00031068,Q13480
IPI00031075,P32881
IPI00031076,P24863
IPI00031077,P24864
IPI00031084,Q9BQI7
IPI00031086,P08833
IPI00031087,Q9BQI5
IPI00031091,Q9BUP0
IPI00031097,Q8NCC5
IPI00031100,Q9BQG1
IPI00031101,P16860
IPI00031104,Q9BT92
IPI00031106,Q9BT73
IPI00031107,Q6YN16
IPI00031109,Q8N183
IPI00031115,Q92805
IPI00031117,Q9BT43
IPI00031118,Q9BT30
IPI00031121,P16870
IPI00031127,Q9BSR8
IPI00031131,Q9HDC9
IPI00031133,Q9BSK2
IPI00031134,Q9BSH3
IPI00031137,Q5VZR4
IPI00031138,Q9BSG0
IPI00031140,Q9BSF0
IPI00031143,Q9BSE2
IPI00031169,P61019
IPI00031171,P08887
IPI00031178,O43918
IPI00031188,O43918
IPI00031195,Q8TAA9
IPI00031228,Q96CS7
IPI00031242,O15027
IPI00031282,Q9H0B3
IPI00031288,O95500
IPI00031315,O95522
IPI00031357,P50336
IPI00031370,Q9BVA1
IPI00031372,O95932
IPI00031385,Q14507
IPI00031386,P42336
IPI00031388,P42338
IPI00031397,O95573
IPI00031407,Q14511
IPI00031410,P42345
IPI00031420,O60701
IPI00031421,O60704
IPI00031422,Q14524
IPI00031423,Q14525
IPI00031424,P42356
IPI00031425,P42357
IPI00031456,Q14542
IPI00031457,P50391
IPI00031458,O60725
IPI00031464,Q96KV6
IPI00031473,P17039
IPI00031476,O60733
IPI00031479,Q14554
IPI00031482,Q9BV47
IPI00031485,Q9BQC6
IPI00031487,Q9HD23
IPI00031489,O60739
IPI00031490,Q9BWP8
IPI00031493,Q9BWQ6
IPI00031497,Q9BWK5
IPI00031499,Q5J8M3
IPI00031506,O60741
IPI00031508,Q14562
IPI00031509,P40933
IPI00031510,Q14563
IPI00031512,Q14565
IPI00031514,P40937
IPI00031515,Q9BWJ2
IPI00031516,Q06547
IPI00031517,Q14566
IPI00031519,P26358
IPI00031521,P40938
IPI00031522,P40939
IPI00031523,Q14568
IPI00031526,Q9BQ61
IPI00031527,Q9H081
IPI00031530,Q9BWG6
IPI00031533,Q9H9R9
IPI00031534,Q9NSC7
IPI00031535,Q9BQ83
IPI00031545,Q14571
IPI00031547,P32926
IPI00031548,O60755
IPI00031549,Q14574
IPI00031551,O60756
IPI00031552,Q14576
IPI00031554,Q9BQ39
IPI00031556,P26368
IPI00031557,P32929
IPI00031558,Q9BW91
IPI00031562,Q7L7L0
IPI00031563,Q9BW61
IPI00031564,O75223
IPI00031566,Q9NSP4
IPI00031570,Q9BSD7
IPI00031572,Q9BSA9
IPI00031574,Q5VUJ9
IPI00031581,Q9BRX9
IPI00031583,O60763
IPI00031584,Q14582
IPI00031587,P26374
IPI00031589,O60765
IPI00031592,Q14585
IPI00031595,Q14587
IPI00031597,Q9BVX2
IPI00031603,Q9BVV2
IPI00031606,Q8N720
IPI00031608,Q9BVQ7
IPI00031612,Q9BRU9
IPI00031614,Q9BRT9
IPI00031615,Q9BRT6
IPI00031617,Q9BRT2
IPI00031618,Q5TDH0
IPI00031619,Q9BRR3
IPI00031620,P32942
IPI00031622,Q9BRQ6
IPI00031627,P24928
IPI00031629,Q9H2J4
IPI00031630,P40967
IPI00031631,O60779
IPI00031632,Q96N11
IPI00031633,Q9BQ15
IPI00031636,Q9BQ24
IPI00031641,Q9H6F2
IPI00031645,Q9BRQ3
IPI00031647,Q9BRP1
IPI00031650,Q9BRJ7
IPI00031651,Q9BRJ6
IPI00031653,Q5PSV4
IPI00031655,Q9BRG1
IPI00031661,Q9BVI4
IPI00031662,Q7Z2W7
IPI00031663,Q9BZD6
IPI00031666,Q9BVL4
IPI00031670,Q8IWE2
IPI00031678,Q9BR77
IPI00031679,Q9BQ75
IPI00031680,Q9BR61
IPI00031681,P24941
IPI00031683,Q9Y210
IPI00031686,P08908
IPI00031687,Q9Y215
IPI00031691,P32969
IPI00031695,Q9H5J4
IPI00031696,Q14CZ7
IPI00031697,Q9BVC6
IPI00031698,Q9BVC5
IPI00031707,P08910
IPI00031708,P16930
IPI00031710,P08912
IPI00031713,P32970
IPI00031715,P32971
IPI00031718,Q9Y227
IPI00031737,Q9Y236
IPI00031747,Q9Y243
IPI00031750,Q9UN70
IPI00031752,Q9Y252
IPI00031753,P08949
IPI00031755,Q9Y256
IPI00031756,Q9Y257
IPI00031757,Q9Y258
IPI00031758,Q9Y259
IPI00031765,Q9Y5F7
IPI00031766,Q9Y5F6
IPI00031768,Q86VS8
IPI00031769,Q9H1Z8
IPI00031770,Q9UNH5
IPI00031772,Q9C002
IPI00031773,Q9Y261
IPI00031775,Q9Y264
IPI00031777,Q13387
IPI00031789,Q9NPH3
IPI00031790,P54284
IPI00031795,Q9BXN6
IPI00031801,P16989
IPI00031802,Q9Y275
IPI00031804,Q9Y277
IPI00031807,Q13261
IPI00031812,P67809
IPI00031819,Q9Y284
IPI00031820,Q9Y285
IPI00031821,Q9Y287
IPI00031822,Q9Y289
IPI00031836,Q9Y295
IPI00031907,Q6UXF1
IPI00031927,Q9GZY8
IPI00031960,O95602
IPI00031982,Q9Y2A7
IPI00031983,Q9Y2A9
IPI00031998,Q8TAX9
IPI00032002,Q9Y2B2
IPI00032003,P50402
IPI00032009,P50406
IPI00032010,Q9Y2B9
IPI00032034,Q9Y2C3
IPI00032038,P50416
IPI00032048,Q96G27
IPI00032050,Q969T9
IPI00032055,Q9Y2D0
IPI00032056,Q53F19
IPI00032057,Q9Y2D1
IPI00032061,Q9P1W8
IPI00032063,Q9NZR2
IPI00032064,Q9Y2D5
IPI00032069,O95644
IPI00032087,Q9Y2E4
IPI00032099,Q9C0K7
IPI00032103,P50440
IPI00032107,P50443
IPI00032110,Q9UIM3
IPI00032112,O95661
IPI00032116,O95665
IPI00032121,O14931
IPI00032131,Q9Y2G2
IPI00032134,P50452
IPI00032135,Q9Y2G4
IPI00032137,Q08043
IPI00032138,Q9Y2G5
IPI00032139,P50453
IPI00032140,P50454
IPI00032142,Q9Y2G7
IPI00032144,P50458
IPI00032147,O95670
IPI00032150,O95674
IPI00032157,Q9HCN2
IPI00032158,Q9BXJ9
IPI00032162,Q08050
IPI00032164,P50461
IPI00032174,Q9BZR8
IPI00032179,P01008
IPI00032184,Q96BN6
IPI00032187,Q9Y2I1
IPI00032188,Q5T8P6
IPI00032190,Q14623
IPI00032195,Q16082
IPI00032196,Q9P1G2
IPI00032197,O60806
IPI00032199,Q14627
IPI00032201,Q06609
IPI00032202,Q9Y2I8
IPI00032206,P50479
IPI00032214,O95696
IPI00032220,P01019
IPI00032223,O60810
IPI00032226,O60811
IPI00032227,Q9Y2J0
IPI00032230,Q9Y2J2
IPI00032233,P18405
IPI00032236,Q9Y2J4
IPI00032258,P0C0L4
IPI00032261,Q14641
IPI00032262,Q14642
IPI00032263,Q9Y2K2
IPI00032264,Q9P1D8
IPI00032270,P26436
IPI00032281,O94818
IPI00032288,Q9H8J5
IPI00032291,P01031
IPI00032292,P01033
IPI00032293,P01034
IPI00032294,P01036
IPI00032298,P26441
IPI00032304,Q14651
IPI00032310,Q14656
IPI00032311,P18428
IPI00032313,P26447
IPI00032314,Q14657
IPI00032316,Q9Y2L8
IPI00032325,P01040
IPI00032328,P01042
IPI00032334,Q06643
IPI00032338,Q9Y2M5
IPI00032343,Q69YL0
IPI00032364,Q9BTD1
IPI00032366,Q9UKJ0
IPI00032370,Q9BVK2
IPI00032371,O60861
IPI00032374,Q14684
IPI00032387,Q14691
IPI00032390,Q14695
IPI00032392,Q9Y2P7
IPI00032401,O60880
IPI00032402,Q9Y2Q0
IPI00032404,O60882
IPI00032405,O60883
IPI00032406,O60884
IPI00032409,Q9Y2Q5
IPI00032413,Q9BWL3
IPI00032416,Q9Y219
IPI00032420,O60894
IPI00032423,Q9Y2R4
IPI00032425,O60896
IPI00032426,Q9Y316
IPI00032434,Q9UIX4
IPI00032439,Q9Y2S0
IPI00032442,Q86TJ5
IPI00032447,Q9GZY6
IPI00032449,Q12797
IPI00032450,Q12797
IPI00032455,Q9Y330
IPI00032459,Q9Y2T2
IPI00032460,Q9Y333
IPI00032462,Q9Y2T4
IPI00032463,Q9Y2T5
IPI00032464,Q9Y337
IPI00032465,Q9UGI6
IPI00032466,O15554
IPI00032471,Q12918
IPI00032472,Q9C010
IPI00032473,Q9H2H8
IPI00032485,Q9Y342
IPI00032486,Q9Y2U2
IPI00032491,Q9Y2U8
IPI00032496,Q9UJA3
IPI00032498,Q9BTE1
IPI00032506,Q9BXV9
IPI00032513,Q15323
IPI00032516,Q9BXS5
IPI00032523,Q9BQY4
IPI00032525,Q9Y2V0
IPI00032532,Q14393
IPI00032533,Q9BV38
IPI00032541,P78386
IPI00032545,Q6ISS4
IPI00032555,Q9BYG4
IPI00032560,Q9Y375
IPI00032561,Q9Y376
IPI00032563,Q9Y2X9
IPI00032575,Q9HC38
IPI00032597,Q9Y388
IPI00032598,P41162
IPI00032630,Q9Y2Z2
IPI00032633,Q9Y2Z9
IPI00032635,Q9BX40
IPI00032679,Q9BWW8
IPI00032680,Q9BWW9
IPI00032696,Q9BX73
IPI00032760,Q9H4G8
IPI00032780,Q9NX70
IPI00032785,O95704
IPI00032791,O95707
IPI00032808,O95716
IPI00032812,O95718
IPI00032823,Q9Y3B2
IPI00032825,Q9Y3B3
IPI00032826,P50502
IPI00032827,Q9Y3B4
IPI00032830,Q9Y3B8
IPI00032831,O95721
IPI00032848,Q9Y3C0
IPI00032849,Q9Y3C1
IPI00032851,P61923
IPI00032853,Q9NPE3
IPI00032864,O75952
IPI00032870,Q9NZD1
IPI00032871,Q9Y3D2
IPI00032872,Q9Y3D3
IPI00032873,Q7Z769
IPI00032875,Q16134
IPI00032876,Q9NRR1
IPI00032879,Q9Y3D8
IPI00032881,Q9Y3D9
IPI00032884,O95744
IPI00032892,O95749
IPI00032896,Q9NRI5
IPI00032898,Q9NR55
IPI00032899,Q9NXZ2
IPI00032900,Q9Y3E2
IPI00032901,Q9NXZ1
IPI00032902,Q9NY59
IPI00032903,Q9Y3E5
IPI00032904,Q16143
IPI00032905,Q9H267
IPI00032908,O95750
IPI00032909,O95751
IPI00032911,P62380
IPI00032914,O95754
IPI00032916,O95755
IPI00032924,Q9BRJ9
IPI00032929,Q9NS62
IPI00032931,P50542
IPI00032936,P50548
IPI00032939,A6NGB9
IPI00032955,Q9Y508
IPI00032956,Q9NQZ6
IPI00032957,P63279
IPI00032958,Q9NQW6
IPI00032959,Q8N335
IPI00032964,P50553
IPI00032966,Q9NQY0
IPI00032970,Q9BXB4
IPI00032971,Q9BXB5
IPI00032988,Q9NRE2
IPI00032994,Q14714
IPI00032995,Q9NS86
IPI00032997,Q9NQX1
IPI00033008,P01100
IPI00033009,A6NNM3
IPI00033016,P01106
IPI00033017,Q9NS39
IPI00033019,Q14721
IPI00033022,P50570
IPI00033030,Q16186
IPI00033036,P50579
IPI00033054,Q05D32
IPI00033071,Q9BYA6
IPI00033075,O95870
IPI00033086,Q9P1A6
IPI00033102,Q9BZP6
IPI00033130,Q9UBE0
IPI00033132,Q9UBF6
IPI00033138,Q9UBK2
IPI00033143,Q9UBQ5
IPI00033151,Q9UBT6
IPI00033153,Q9UBU9
IPI00033217,Q9UDR5
IPI00033349,Q9HCU5
IPI00033350,Q9UHC7
IPI00033388,Q9UIK4
IPI00033419,Q9UK73
IPI00033466,Q9Y240
IPI00033482,P58294
IPI00033486,Q9UHN1
IPI00033487,P58304
IPI00033488,P58317
IPI00033494,O14950
IPI00033516,Q96CW5
IPI00033541,Q9NPC4
IPI00033553,Q9NQ90
IPI00033560,Q15256
IPI00033561,Q15287
IPI00033573,Q7L099
IPI00033583,Q96P63
IPI00033600,Q15435
IPI00033606,Q9NSY1
IPI00033611,P29558
IPI00033653,Q86UD3
IPI00033770,Q9NXW9
IPI00033866,Q9H0C5
IPI00033892,Q9H116
IPI00033907,Q9H1A4
IPI00033944,O14508
IPI00033970,Q9H2R5
IPI00034003,O14717
IPI00034006,Q9H3S7
IPI00034010,Q9H446
IPI00034015,Q92879
IPI00034048,Q9NZC4
IPI00034049,Q92900
IPI00034050,O95944
IPI00034060,Q9H5F2
IPI00034069,Q9H5Q4
IPI00034071,Q9HB65
IPI00034088,Q14213
IPI00034099,Q9H6T0
IPI00034159,P61421
IPI00034167,Q96FA3
IPI00034181,O75884
IPI00034201,Q9C0B7
IPI00034205,Q9BQI0
IPI00034208,Q9C0K1
IPI00034248,Q9HBE1
IPI00034249,Q9HBE5
IPI00034277,Q9HD20
IPI00034280,Q6UWP2
IPI00034308,Q9UL12
IPI00034309,Q9Y283
IPI00034319,O60888
IPI00034322,Q9BWL3
IPI00034336,O95780
IPI00034558,Q9HDB5
IPI00034860,Q6QEF8
IPI00036552,P58335
IPI00036554,P58340
IPI00036578,P58397
IPI00036742,Q69YN4
IPI00037070,P11142
IPI00037168,Q5VX71
IPI00037283,O00429
IPI00037401,Q9Y2X0
IPI00037448,Q9UBQ7
IPI00037599,Q12800
IPI00037619,Q59GN2
IPI00038356,P05089
IPI00038378,Q9UHY7
IPI00038613,Q4VC39
IPI00039626,Q9NZB2
IPI00039666,Q9HAW9
IPI00039680,Q96BD0
IPI00039864,Q6VN20
IPI00040537,Q12974
IPI00040730,Q96JP9
IPI00040900,Q7LGA3
IPI00041053,Q9H2S5
IPI00041127,Q9NVP2
IPI00041325,Q9NX24
IPI00041513,Q5I0X7
IPI00041779,Q96MT8
IPI00041868,Q96FL9
IPI00041959,Q96BD5
IPI00041960,Q3BBV0
IPI00042099,Q9BRQ0
IPI00042492,Q53F39
IPI00042580,Q9BUR5
IPI00042604,Q9BUT9
IPI00042612,Q9BUU2
IPI00042916,O75054
IPI00042932,P21439
IPI00043069,Q9BXX3
IPI00043083,Q9HBI1
IPI00043201,Q9HC77
IPI00043215,Q8N6C5
IPI00043236,Q6ZRF8
IPI00043242,Q96MP8
IPI00043268,Q8IZ41
IPI00043271,Q96N06
IPI00043273,Q6P9G4
IPI00043294,Q96N11
IPI00043302,Q96MR6
IPI00043304,Q96MR7
IPI00043307,Q96MR9
IPI00043327,Q96N21
IPI00043330,Q96N22
IPI00043331,Q96MS3
IPI00043359,Q96MT0
IPI00043360,Q96MT1
IPI00043363,Q96MT3
IPI00043366,Q96MT4
IPI00043368,Q96N35
IPI00043369,Q6PF06
IPI00043370,Q96MT7
IPI00043373,Q96MT8
IPI00043400,Q96MU5
IPI00043403,Q96MU6
IPI00043407,Q9HCJ0
IPI00043427,Q5T0U0
IPI00043429,Q96MV1
IPI00043430,Q8IUR5
IPI00043432,Q96N53
IPI00043440,Q96MV8
IPI00043467,Q96MW7
IPI00043468,Q96N68
IPI00043469,Q86YD3
IPI00043479,Q4W4Y0
IPI00043490,Q96MX0
IPI00043491,Q7Z494
IPI00043494,Q96MX3
IPI00043495,Q6PI47
IPI00043499,Q96N76
IPI00043501,Q8IW00
IPI00043516,Q9C0G0
IPI00043543,Q96MZ4
IPI00043546,Q96N96
IPI00043550,Q6GMR7
IPI00043553,Q9BZJ6
IPI00043559,Q4KMG9
IPI00043560,Q96NA8
IPI00043562,Q5T8R8
IPI00043563,Q96NB1
IPI00043564,Q96NB2
IPI00043565,Q96NB3
IPI00043587,Q5VYS4
IPI00043598,Q70UQ0
IPI00043606,Q96ND8
IPI00043622,Q96NE9
IPI00043637,Q5VWP3
IPI00043638,Q71RC2
IPI00043668,O95990
IPI00043670,P0C875
IPI00043682,Q4W5P6
IPI00043689,Q7RTX9
IPI00043716,Q8N3X6
IPI00043731,Q96NL0
IPI00043733,Q96NL1
IPI00043735,Q96NL3
IPI00043737,Q2NL68
IPI00043740,Q96NL6
IPI00043741,Q96NL8
IPI00043747,Q52LD8
IPI00043748,Q96NM4
IPI00043749,Q5T742
IPI00043756,Q504Y0
IPI00043760,Q96NN9
IPI00043810,Q99946
IPI00043835,Q96NR7
IPI00043857,Q96NS1
IPI00043863,P27816
IPI00043883,Q96NT5
IPI00043911,Q96NU7
IPI00043958,Q9UM11
IPI00043978,Q8TEW8
IPI00043990,Q9H8H2
IPI00043992,Q96NY8
IPI00044004,Q96NZ8
IPI00044147,Q9UBN4
IPI00044214,P16471
IPI00044280,Q96P65
IPI00044281,Q96P67
IPI00044282,Q96P68
IPI00044283,Q96P69
IPI00044315,Q96P88
IPI00044326,Q8NCH0
IPI00044331,Q9BXN2
IPI00044332,Q9BXN2
IPI00044336,Q96PB8
IPI00044351,Q96PC5
IPI00044353,Q86YW9
IPI00044369,Q6UX71
IPI00044388,Q96PE3
IPI00044409,Q96PF1
IPI00044456,Q96PH1
IPI00044460,Q96PH6
IPI00044461,Q495T6
IPI00044501,Q7L513
IPI00044510,Q96PJ5
IPI00044550,Q96PL1
IPI00044552,Q96PL2
IPI00044556,Q96PL5
IPI00044570,Q96PM8
IPI00044583,Q96PN7
IPI00044584,Q96PN8
IPI00044587,Q96PP8
IPI00044600,Q96PQ0
IPI00044607,Q96PQ5
IPI00044608,Q96Q06
IPI00044627,Q9NZS2
IPI00044631,P0C5Z0
IPI00044644,Q96PS1
IPI00044648,Q96PS6
IPI00044650,Q49A92
IPI00044651,Q96PS8
IPI00044652,Q8TEW8
IPI00044665,Q6P1L5
IPI00044666,Q96Q35
IPI00044667,Q53TS8
IPI00044678,Q96Q40
IPI00044681,Q96PU4
IPI00044683,Q96Q45
IPI00044707,Q86UW8
IPI00044725,Q5VVJ2
IPI00044729,Q96Q77
IPI00044737,Q6ZSU1
IPI00044743,Q14DG7
IPI00044744,Q96Q82
IPI00044745,Q9Y6U3
IPI00044748,Q96PY5
IPI00044749,Q96PY6
IPI00044751,Q96Q89
IPI00044761,Q96PZ0
IPI00044826,Q96QE4
IPI00044842,Q96QF0
IPI00044895,Q96QH8
IPI00044960,Q96IZ7
IPI00044965,Q96QK8
IPI00045017,Q9NNX6
IPI00045033,Q9NNX6
IPI00045049,Q9BZR8
IPI00045051,Q96QR8
IPI00045066,Q96QS3
IPI00045068,Q96QS6
IPI00045106,Q96QV1
IPI00045109,Q96QV6
IPI00045156,Q96QZ0
IPI00045207,Q96RE7
IPI00045208,Q96RE9
IPI00045219,Q96RF0
IPI00045224,Q9NZC7
IPI00045302,Q96RI1
IPI00045309,Q96RI8
IPI00045310,Q96RI9
IPI00045329,Q96RJ0
IPI00045335,O43435
IPI00045337,Q96RJ3
IPI00045360,Q96RK0
IPI00045365,Q96RK1
IPI00045396,O43852
IPI00045418,Q96RM1
IPI00045423,Q8TEW0
IPI00045438,Q7LBE3
IPI00045464,Q96RQ9
IPI00045472,Q96S15
IPI00045473,Q96S16
IPI00045478,Q96S21
IPI00045491,Q96RT7
IPI00045492,Q96RT8
IPI00045496,Q96RU2
IPI00045497,Q96S42
IPI00045498,O14979
IPI00045503,Q96A00
IPI00045508,Q96S65
IPI00045511,Q96S66
IPI00045512,Q96RW7
IPI00045517,Q96S79
IPI00045527,Q96S86
IPI00045531,Q96S90
IPI00045532,Q9H9P5
IPI00045536,Q9BWS9
IPI00045539,Q96S95
IPI00045550,Q96SB3
IPI00045565,Q96SC8
IPI00045600,Q5VWQ8
IPI00045605,Q96SE7
IPI00045628,A6NM43
IPI00045660,Q5JTJ3
IPI00045729,Q8N594
IPI00045732,Q9UC06
IPI00045741,Q8N539
IPI00045742,Q96SJ8
IPI00045764,Q96SK2
